X;name.for.phylo;Family;Genus;Translation;Symbol
80;Acacia_brachybotrya;Fabaceae;Acacia;Fabaceae.undiff;ACBR3
81;Acacia_buxifolia;Fabaceae;Acacia;Fabaceae.undiff;ACBU3
82;Acer_buergerianum;Aceraceae;Acer;Acer;ACBU4
83;Acacia_caesiella;Fabaceae;Acacia;Fabaceae.undiff;ACCA23
84;Acacia_calamifolia;Fabaceae;Acacia;Fabaceae.undiff;ACCA24
85;Acacia_cambagei;Fabaceae;Acacia;Fabaceae.undiff;ACCA25
86;Acacia_cardiophylla;Fabaceae;Acacia;Fabaceae.undiff;ACCA27
87;Acalypha_californica;Euphorbiaceae;Acalypha;Euphorbiaceae;ACCA3
88;Acer_campestre;Aceraceae;Acer;Acer;ACCA5
89;Acalypha_chamaedryfolia;Euphorbiaceae;Acalypha;Euphorbiaceae;ACCH2
90;Acacia_chinchillensis;Fabaceae;Acacia;Fabaceae.undiff;ACCH8
91;Acer_circinatum;Aceraceae;Acer;Acer;ACCI
92;Acer_cissifolium;Aceraceae;Acer;Acer;ACCI5
93;Acacia_cibaria;Fabaceae;Acacia;Fabaceae.undiff;ACCI6
94;Acacia_confusa;Fabaceae;Acacia;Fabaceae.undiff;ACCO
95;Acacia_cognata;Fabaceae;Acacia;Fabaceae.undiff;ACCO15
96;Acacia_colletioides;Fabaceae;Acacia;Fabaceae.undiff;ACCO16
97;Acacia_conspersa;Fabaceae;Acacia;Fabaceae.undiff;ACCO17
98;Acacia_continua;Fabaceae;Acacia;Fabaceae.undiff;ACCO18
99;Acacia_craspedocarpa;Fabaceae;Acacia;Fabaceae.undiff;ACCR2
100;Acacia_cultriformis;Fabaceae;Acacia;Fabaceae.undiff;ACCU4
101;Acacia_cupularis;Fabaceae;Acacia;Fabaceae.undiff;ACCU5
102;Acacia_cyclops;Fabaceae;Acacia;Fabaceae.undiff;ACCY2
103;Acacia_decurrens;Fabaceae;Acacia;Fabaceae.undiff;ACDE
104;Acacia_deanei;Fabaceae;Acacia;Fabaceae.undiff;ACDE11
105;Acacia_decora;Fabaceae;Acacia;Fabaceae.undiff;ACDE12
106;Acacia_dealbata;Fabaceae;Acacia;Fabaceae.undiff;ACDE3
107;Acalypha_deamii;Euphorbiaceae;Acalypha;Euphorbiaceae;ACDE4
108;Acacia_deanei;Fabaceae;Acacia;Fabaceae.undiff;ACDEP2
109;Acer_diabolicum;Aceraceae;Acer;Acer;ACDI12
110;Acacia_dietrichiana;Fabaceae;Acacia;Fabaceae.undiff;ACDI7
111;Acacia_difformis;Fabaceae;Acacia;Fabaceae.undiff;ACDI8
112;Acacia_doratoxylon;Fabaceae;Acacia;Fabaceae.undiff;ACDO2
113;Acacia_drummondii;Fabaceae;Acacia;Fabaceae.undiff;ACDR2
114;Acacia_dunnii;Fabaceae;Acacia;Fabaceae.undiff;ACDU3
115;Acacia_elata;Fabaceae;Acacia;Fabaceae.undiff;ACEL
116;Acacia_erioloba;Fabaceae;Acacia;Fabaceae.undiff;ACER4
117;Acacia_estrophiolata;Fabaceae;Acacia;Fabaceae.undiff;ACES2
118;Acaena_exigua;Rosaceae;Acaena;Rosaceae.undiff;ACEX
119;Acacia_extensa;Fabaceae;Acacia;Fabaceae.undiff;ACEX3
120;Acacia_fimbriata;Fabaceae;Acacia;Fabaceae.undiff;ACFI4
